comment_id,username,message
ct_618,HNRIK,Let the man cook!!!
ct_620,Sporty Otter Pop (René Lilly),Moby's got the blues there suddenly-great lil riff
ct_621,Ford Prefect,That one
ct_625,Nicolas Burtin,:smiling_face_with_hearts::smiling_face_with_heart_eyes::smiling_face_with_hearts:
ct_627,Gustavo ,:sneezing_face::sneezing_face::sneezing_face::sneezing_face::sneezing_face:
ct_629,Ford Prefect,:red_heart:
ct_630,Gustavo ,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
ct_633,Alejandra,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
ct_634,Richard Thiel,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
ct_636,Luca M.,:star::glowing_star::musical_notes::musical_note::glowing_star::star:
ct_638,T,:face_with_thermometer:
ct_639,ana lucia,:hundred_points::red_heart::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
ct_643,Nicolas Burtin,:smiling_face_with_hearts::smiling_face_with_heart_eyes::star_struck::smiling_face_with_hearts::smiling_face_with_heart_eyes::star_struck:
ct_644,Sporty Otter Pop (René Lilly),oh grow up Russell
ct_648,Lucas Gllx,"The man is almost 59yo, what a legend!"
ct_650,Colores Santos ,:face-blue-smiling::face-blue-smiling::face-blue-smiling:
ct_652,Tamás Borbély,@T I wish You get well! :clapping_hands::open_hands::raising_hands::clapping_hands::open_hands:
ct_653,Julian Reverse,@ARTE Concert could you please block @Russell Watkins :face_vomiting::face_vomiting::face_vomiting:
ct_654,Alejandra,"Oh baby, oh baby:collision::collision:then it fell apart, it fell apart!"
ct_656,Luca M.,:chart_increasing::red_heart::musical_notes::musical_note:
ct_657,T,My temperature rises from the music :smiling_cat_with_heart_eyes:
ct_658,HNRIK,Crazy how many songs I know from Moby without even being an hardcore fan haha
ct_659,Alejandra,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:
ct_661,CristianKirk,@HNRIK All that played MTV
ct_662,Luca M.,:star::glowing_star::musical_notes::musical_note::glowing_star::star:
ct_663,Tamás Borbély,ooohh :violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:
ct_664,Sporty Otter Pop (René Lilly),"Thank you Arte Concert, for keeping it pleasant for us"
ct_665,Julian Reverse,@ARTE Concert :smiling_face_with_heart_eyes:
ct_666,Animaphagus,This song is awesome
ct_668,alcolm,right on time
ct_669,RAFFIN gisèle,Moby:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:
ct_670,F L,ARTE Concert :sign_of_the_horns:
ct_674,Elder Moura,:elbowcough::elbowcough:
ct_675,Ford Prefect,Love this part
ct_676,CyrusBlack,this is insane
ct_677,T,Artwork 
ct_678,Gilles Zenner,Moby on The Diddy-List :flushed_face::flushed_face::flushed_face:
ct_680,Luca M., :raising_hands::sparkles::raising_hands::sparkles::raising_hands:
ct_681,Sporty Otter Pop (René Lilly),porcelain was already catch it on the plaback! It was great
ct_682,Aktamix,extreme ways is so powerful track...
ct_684,Luca M.,:raising_hands::collision::raising_hands::collision::raising_hands: 
ct_687,F L,:clapping_hands::sign_of_the_horns::raising_hands:
ct_689,Luca M.,:collision::raising_hands::collision::raising_hands: :raising_hands::sparkles::raising_hands::sparkles:
ct_693,Sporty Otter Pop (René Lilly),"if this keeps up, hips will be swinging next"
ct_694,Epi..mű,:musical_notes::location-yellow-teal-bars:thanks for all @ARTE Concert✓ always Delivering quality recorded productions from every genre ..YT:trophy-yellow-smiling::finger-red-number-one:👏🏼👏🏼
ct_695,HNRIK,@el polaco :grinning_face: according to chat GPT no it's not
ct_696,Anniken Huseby,OMG OMG :red_heart: :red_heart: :red_heart: TUNE!
ct_697,Julian Reverse,Choklate :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
ct_698,Ford Prefect,:red_heart:
ct_699,F L,:smiling_cat_with_heart_eyes::heart_with_arrow::backhand_index_pointing_left::backhand_index_pointing_right::sign_of_the_horns:
ct_703,Sporty Otter Pop (René Lilly),"hawt, hawt, hotness in the ears"
ct_704,Stephen Lee,:blue_heart::red_heart::orange_heart::yellow_heart::green_heart:
ct_705,Lucas Gllx,"@HNRIK Same, I never searshed him on Spotify but jeez I know almost every song, what a legend!"
ct_706,Thor Hamma,coolest version of this song ever!
ct_708,Dani,@ARTE Concert Will this concert stay online? 
ct_710,HNRIK,"I love her voice, I miss this kind of voice in today's music. Everything has this little chicken falsettos "
ct_711,Stephen Lee,:face-red-heart-shape:
ct_712,The Running Secretary,"Watching on the bus to work from Tasmania, Australia"
ct_713,Sporty Otter Pop (René Lilly),"My cat is even watching, totally fascinated now"
ct_714,F L,le pied :sign_of_the_horns:
ct_716,Henrik Tóth,:red_heart::black_heart::red_heart::black_heart:
ct_718,SoundDesigners,"what a voice, full of charisma!"
ct_724,Sporty Otter Pop (René Lilly),that funk is so on point
ct_725,Lucas Gllx,"@Er C good for you, nobody cares :face_blowing_a_kiss:"
ct_726,Dani,@ARTE Concert thank you. :face-red-heart-shape:
ct_727,Mariana Correia,the first song I played in the guitar was Moby's song :red_heart: thanks from Brasil
ct_728,SoundDesigners,this must be on vinyl!
ct_729,C-Lakata,👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
ct_730,Luca M.,:musical_note::musical_notes::sparkles::sparkles:
ct_732,Carell Cassey,"Watching in the background at work. It's 2:30pm in the afternoon here in Madison, WI"
