comment_id,username,message,feeling_pos,feeling_neu,feelinf_neg,external_ref,phys_react_intentional,phys_react_unintentional,reference_audience
ct_404,Kosmiclovers,:purple_heart::purple_heart::purple_heart::blue_heart::purple_heart::purple_heart::purple_heart:,,,,,,,
ct_405,Arte en textiles,hermoso,,,,,,,
ct_407,Manuel Martínez Díaz,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,,,,,,,
ct_408,Steven Baker,Love the glockenspiel!,,,,,,,
ct_409,Nat GE,:red_heart:,,,,,,,
ct_410,Manuel Martínez Díaz,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss:,,,,,,,
ct_411,Stefan Irma,fifty shades of white :white_heart:,,,,,,,
ct_412,Daniel Rodriguez,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts: wow i loved,,,,,,,
ct_413,Carolina Garcia,:smiling_face_with_hearts:,,,,,,,
ct_419,Miguel Ferreira,:popcorn-yellow-striped-smile:,,,,,,,
ct_420,Acherryblossom3,Merci ARTE :heart_hands:,,,,,,,
ct_423,senta1978,:smiling_face_with_sunglasses::fire::rocket:,,,,,,,
ct_424,Romeo CHARLIE,"""Don't be live.."" (VirginSuicide)",,,,,,,
ct_427,f c,but when i wake up. black friday let me PAY ,,,,,,,
ct_431,János,:blue_heart::white_heart::heart_suit:Everybody's talkin' at meI don't hear a word they're sayin'...lalala,,,,,,,
ct_434,Steven Baker,:ear::sparkling_heart::ear::sparkling_heart::ear::sparkling_heart::ear::sparkling_heart:,,,,,,,
ct_435,Leesmap Man,@Headsknow That's a great name!,,,,,,,
ct_437,filtav,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,,,,,,,
ct_438,f c,"VAMOS SUGA NO METH NO COCAINE, NOT STUPID SHIT IN UR BODY JUST #LOVE UFC306",,,,,,,
ct_439,Romeo CHARLIE,:winking_face:Morricon,,,,,,,
ct_441,Stefan Irma,:hundred_points:,,,,,,,
ct_443,RetroSound,I was a AIR fan since the beginning and now my daughter love AIR too.,,,,,,,
ct_444,MrTRIFORCE666,:clinking_glasses::hands-yellow-heart-red:,,,,,,,
ct_448,filtav,@RetroSound they are timeless and this album even more,,,,,,,
ct_449,f c,"best way to stay off drugs, Latins",,,,,,,
ct_450,Stefan Irma,:anatomical_heart::anatomical_heart::anatomical_heart:,,,,,,,
ct_454,Tomasz Stasiak,Are you here that guy from Brazil who took a photo of us with AIR at London Royal Festival Hall backstage on 2004?,,,,,,,
ct_455,popcorntommy,my fave album performed beautifully live ,,,,,,,
ct_458,blue_scape,Ce Matin La @Steffi Whelan ,,,,,,,
ct_459,Miguel Ferreira,:hands-yellow-heart-red:,,,,,,,
ct_460,Baires Rock,:sign_of_the_horns::sign_of_the_horns:,,,,,,,
ct_461,Headsknow,Baby Blue ?,,,,,,,
ct_463,Steffi Whelan,Thanks!! ,,,,,,,
ct_464,filtav,such great performance the way they make even more unique each track from album,,,,,,,
ct_465,Doughnut Doney,two tracks to go and then what...more songs?,,,,,,,
ct_469,Miguel Ferreira,:face-orange-tv-shape:,,,,,,,
ct_470,blue_scape,A best of i think @Doughnut Doney ,,,,,,,
ct_471,f c,"grab her hand and say hi,,, dance with her, hug her, love her and no matter never nver forget HER",,,,,,,
